  IWM 2019-02-01..2019-03-01: 9,964 bars
  IWM 2019-03-01..2019-04-01: 10,730 bars
  IWM 2019-04-01..2019-05-01: 10,483 bars
  IWM 2019-05-01..2019-06-01: 11,681 bars
  IWM 2019-06-01..2019-07-01: 10,103 bars
  IWM 2019-07-01..2019-08-01: 10,828 bars
  IWM 2019-08-01..2019-09-01: 11,818 bars
  IWM 2019-09-01..2019-10-01: 10,436 bars
  IWM 2019-10-01..2019-11-01: 11,664 bars
  IWM 2019-11-01..2019-12-01: 10,258 bars
  IWM 2019-12-01..2020-01-01: 10,593 bars
  IWM 2020-01-01..2020-02-01: 11,298 bars
  IWM 2020-02-01..2020-03-01: 10,472 bars
  IWM 2020-03-01..2020-04-01: 15,048 bars
  IWM 2020-04-01..2020-05-01: 14,111 bars
  IWM 2020-05-01..2020-06-01: 13,783 bars
  IWM 2020-06-01..2020-07-01: 16,028 bars
  IWM 2020-07-01..2020-08-01: 14,047 bars
  IWM 2020-08-01..2020-09-01: 12,645 bars
  IWM 2020-09-01..2020-10-01: 12,552 bars
  IWM 2020-10-01..2020-11-01: 14,889 bars
  IWM 2020-11-01..2020-12-01: 14,805 bars
  IWM 2020-12-01..2021-01-01: 14,695 bars
  IWM 2021-01-01..2021-02-01: 13,040 bars
  IWM 2021-02-01..2021-03-01: 12,646 bars
  IWM 2021-03-01..2021-04-01: 15,698 bars
  IWM 2021-04-01..2021-05-01: 13,796 bars
  IWM 2021-05-01..2021-06-01: 13,112 bars
  IWM 2021-06-01..2021-07-01: 13,559 bars
  IWM 2021-07-01..2021-08-01: 14,195 bars
  IWM 2021-08-01..2021-09-01: 14,515 bars
  IWM 2021-09-01..2021-10-01: 15,189 bars
  IWM 2021-10-01..2021-11-01: 15,679 bars
  IWM 2021-11-01..2021-12-01: 16,193 bars
  IWM 2021-12-01..2022-01-01: 17,153 bars
  IWM 2022-01-01..2022-02-01: 16,679 bars
  IWM 2022-02-01..2022-03-01: 15,175 bars
  IWM 2022-03-01..2022-04-01: 17,873 bars
  IWM 2022-04-01..2022-05-01: 14,912 bars
  IWM 2022-05-01..2022-06-01: 16,118 bars
  IWM 2022-06-01..2022-07-01: 16,040 bars
  IWM 2022-07-01..2022-08-01: 15,041 bars
  IWM 2022-08-01..2022-09-01: 17,671 bars
  IWM 2022-09-01..2022-10-01: 16,166 bars
  IWM 2022-10-01..2022-11-01: 16,447 bars
  IWM 2022-11-01..2022-12-01: 15,407 bars
  IWM 2022-12-01..2023-01-01: 15,284 bars
  IWM 2023-01-01..2023-02-01: 14,706 bars
  IWM 2023-02-01..2023-03-01: 13,020 bars
  IWM 2023-03-01..2023-04-01: 17,051 bars
  IWM 2023-04-01..2023-05-01: 12,927 bars
  IWM 2023-05-01..2023-06-01: 14,707 bars
  IWM 2023-06-01..2023-07-01: 14,974 bars
  IWM 2023-07-01..2023-08-01: 14,071 bars
  IWM 2023-08-01..2023-09-01: 15,979 bars
  IWM 2023-09-01..2023-10-01: 12,922 bars
  IWM 2023-10-01..2023-11-01: 15,178 bars
  IWM 2023-11-01..2023-12-01: 14,599 bars
  IWM 2023-12-01..2024-01-01: 14,853 bars
  IWM 2024-01-01..2024-02-01: 16,200 bars
  IWM 2024-02-01..2024-03-01: 15,295 bars
  IWM 2024-03-01..2024-04-01: 14,664 bars
  IWM 2024-04-01..2024-05-01: 16,335 bars
  IWM 2024-05-01..2024-06-01: 15,637 bars
  IWM 2024-06-01..2024-07-01: 14,001 bars
  IWM 2024-07-01..2024-08-01: 17,330 bars
  IWM 2024-08-01..2024-09-01: 16,358 bars
  IWM 2024-09-01..2024-10-01: 14,462 bars
  IWM 2024-10-01..2024-11-01: 16,442 bars
  IWM 2024-11-01..2024-12-01: 15,159 bars
  IWM 2024-12-01..2025-01-01: 15,060 bars
  IWM 2025-01-01..2025-02-01: 14,541 bars
  IWM 2025-02-01..2025-03-01: 13,890 bars
  IWM 2025-03-01..2025-04-01: 15,787 bars
  IWM 2025-04-01..2025-05-01: 16,556 bars
  IWM 2025-05-01..2025-06-01: 15,753 bars
  IWM 2025-06-01..2025-07-01: 15,196 bars
  IWM 2025-07-01..2025-08-01: 16,251 bars
  IWM 2025-08-01..2025-09-01: 16,095 bars
  IWM 2025-09-01..2025-10-01: 15,821 bars
  IWM 2025-10-01..2025-11-01: 18,550 bars
  IWM 2025-11-01..2025-12-01: 14,818 bars
  IWM 2025-12-01..2026-01-01: 15,735 bars
  IWM 2026-01-01..2026-02-01: 15,258 bars
  IWM 2026-02-01..2026-03-01: 14,543 bars
  IWM 2026-03-01..2026-04-01: 18,124 bars
  IWM 2026-04-01..2026-05-01: 16,222 bars
  IWM 2026-05-01..2026-06-01: 16,045 bars
  IWM 2026-06-01..2026-07-01: 16,948 bars
  IWM 2026-07-01..2026-08-01: 16,383 bars
  IWM 2026-08-01..2026-09-01: 15,347 bars
  IWM 2026-09-01..2026-09-05: 2,993 bars
# Overnight sleeve: IWM (alpaca), notional $12,000, slip 0.035/share/side, weekend=no

## Summary
```
{
  "nights": 2145,
  "net_pnl": 3099.54,
  "mean_night": 1.45,
  "sd_night": 101.34,
  "win_rate": 0.524,
  "profit_factor": 1.04,
  "sharpe_ann": 0.23,
  "t_stat": 0.66,
  "worst_night": -878.41,
  "best_night": 694.73,
  "max_drawdown": -3227.31,
  "nights_below_-700": 1,
  "nights_below_-1000": 0
}
```

## By year
```
      count     sum  mean    std    min
year                                   
2016    201 -1964.0  -9.8   75.3 -513.2
2017    200     5.9   0.0   45.9 -207.6
2018    199  -298.9  -1.5   56.3 -205.1
2019    201   899.6   4.5   58.4 -193.2
2020    204  2655.5  13.0  196.3 -878.4
2021    203  1733.5   8.5   84.7 -346.1
2022    200 -1070.4  -5.4  110.9 -311.8
2023    199  -137.7  -0.7   86.6 -321.4
2024    200  2058.7  10.3  110.8 -435.3
2025    200 -1359.1  -6.8  105.1 -571.8
2026    138   576.4   4.2   94.0 -322.4
```

## IN-SAMPLE
```
{
  "nights": 1607,
  "net_pnl": 1823.54,
  "mean_night": 1.13,
  "sd_night": 100.24,
  "win_rate": 0.523,
  "profit_factor": 1.04,
  "sharpe_ann": 0.18,
  "t_stat": 0.45,
  "worst_night": -878.41,
  "best_night": 694.73,
  "max_drawdown": -3227.31,
  "nights_below_-700": 1,
  "nights_below_-1000": 0
}
```

## HOLDOUT
```
{
  "nights": 538,
  "net_pnl": 1276.0,
  "mean_night": 2.37,
  "sd_night": 104.54,
  "win_rate": 0.528,
  "profit_factor": 1.07,
  "sharpe_ann": 0.36,
  "t_stat": 0.53,
  "worst_night": -571.78,
  "best_night": 656.99,
  "max_drawdown": -2683.7,
  "nights_below_-700": 0,
  "nights_below_-1000": 0
}
```

## TradeDay $50K static: target $3,000, DD $2,000 (static, locks), DLL $0, consistency 30% of profit, flat by overnight ok CT, bots on funded: True
P(pass) 1x = **12.2%** (median 255.0 days); zero-edge control 7.7%; this history: {'result': 'fail', 'days': 112, 'reason': 'drawdown (intraday touch)', 'balance': -2000}

## TradeDay $100K static: target $6,000, DD $3,000 (static, locks), DLL $0, consistency 30% of profit, flat by overnight ok CT, bots on funded: True
P(pass) 1x = **0.1%** (median 300 days); zero-edge control 0.1%; this history: {'result': 'fail', 'days': 1069, 'reason': 'drawdown (intraday touch)', 'balance': -3000}

## MyFundedFutures Core $50K: target $3,000, DD $2,000 (eod, locks), DLL $1,000, consistency 50% of profit, flat by 15:10 CT, bots on funded: True
P(pass) 1x = **12.1%** (median 250 days); zero-edge control 7.6%; this history: {'result': 'fail', 'days': 110, 'reason': 'drawdown (intraday touch)', 'balance': -1965.0}
